what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417679481
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417681804
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1767417686735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417688399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417689220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417689329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417694274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767417696873
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1767417699826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417715015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417715174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417715278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417719962
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417786982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417789017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417789078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417790648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767417899299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417901466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417903469
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417918053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417919967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417920031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417921825
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1767417928400
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1767417931638
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1767417932836
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1767417933560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417934684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417934861
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417934967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417957544
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767417963337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417975968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417979920
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767417985003
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1767417985152
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1767417986544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417988018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417988177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767417988299
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767418003954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767418008060
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767418010305
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767418011721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767418011967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767418012479
