what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1767415385448
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1767415385448
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1767415385448
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1767415385448
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1767415385448
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1767415385448
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1767415385448
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1767415385448
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1767415385458
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1767415385458
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1767415385458
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1767415385462
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1767415385462
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1767415385462
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1767415385462
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1767415385462
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1767415385462
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1767415385468
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1767415385468
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1767415385468
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1767415385468
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1767415385468
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1767415385468
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1767415385468
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1767415385468
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1767415385468
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1767415385468
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1767415385468
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1767415385478
os,sysinfo,,,"win32",1767415385478
arch,sysinfo,,,"x86_64",1767415385478
ws,sysinfo,,,"win32",1767415385478
locale,sysinfo,,,"en_IN",1767415385478
processors,sysinfo,,,"8",1767415385478
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1767415385478
java.runtime.version,sysinfo,,,"1.8.0_202-b08",1767415385478
java.specification.name,sysinfo,,,"Java Platform API Specification",1767415385478
java.specification.vendor,sysinfo,,,"Oracle Corporation",1767415385478
java.specification.version,sysinfo,,,"1.8",1767415385478
java.vendor,sysinfo,,,"Oracle Corporation",1767415385478
java.version,sysinfo,,,"1.8.0_202",1767415385478
java.vm.info,sysinfo,,,"mixed mode",1767415385478
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1767415385478
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1767415385478
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1767415385478
java.vm.specification.version,sysinfo,,,"1.8",1767415385478
java.vm.vendor,sysinfo,,,"Oracle Corporation",1767415385478
java.vm.version,sysinfo,,,"25.202-b08",1767415385478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415385610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415386412
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767415401634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415407088
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767415417958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767415418335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415440600
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415441281
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767415442525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415453289
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415486741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415497454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415498273
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1767415507925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415512942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415516164
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415516245
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415516308
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767415522240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415531205
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415535509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415535572
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1767415535572
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415541420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415543537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415547753
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415550506
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415550602
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415550649
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1767415714552
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767415726748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415731239
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1767415739935
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1767415739997
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1767415740040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767415744121
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767415746210
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1767415756941
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1767415756953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767415841757
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767415843933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767415950660
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767415953234
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1767415955273
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767416117639
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1767416117859
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767416121312
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767416215473
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767416221018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767416222828
