what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330808615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330808693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330811440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330811503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330813282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330866247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767330873585
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767330874744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330876422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330879763
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1767330884900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330887521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330896482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330899336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330902507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767330912885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767330914427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330921830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330962086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330965333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767330971671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767330973527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767330973823
