what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425165187
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767425220762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425290011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425291686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425291749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425294111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425296066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425298280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425298320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425301469
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425361456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425371668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425420558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425465239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425467629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425469974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425470034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425472443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425478018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425479801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425479855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425484843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425486036
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425487826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425487842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425489524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425490781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425491838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425492345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425495480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425495527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425498453
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767425498643
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1767425498810
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1767425498826
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1767425498828
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1767425498828
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1767425498830
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1767425498830
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1767425498830
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1767425498830
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1767425498830
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1767425498830
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1767425498834
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1767425498834
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1767425498836
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1767425498836
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1767425498836
