what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1767256393350
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1767256393350
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1767256393350
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1767256393350
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1767256393350
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1767256393350
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1767256393350
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1767256393350
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1767256393350
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1767256393366
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1767256393366
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1767256393366
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1767256393366
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1767256393366
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1767256393366
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1767256393366
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1767256393382
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1767256393382
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1767256393382
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1767256393382
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1767256393386
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1767256393386
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1767256393386
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1767256393386
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1767256393386
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1767256393386
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1767256393386
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1767256393397
os,sysinfo,,,"win32",1767256393397
arch,sysinfo,,,"x86_64",1767256393397
ws,sysinfo,,,"win32",1767256393397
locale,sysinfo,,,"en_IN",1767256393397
processors,sysinfo,,,"8",1767256393397
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1767256393397
java.runtime.version,sysinfo,,,"1.8.0_202-b08",1767256393397
java.specification.name,sysinfo,,,"Java Platform API Specification",1767256393397
java.specification.vendor,sysinfo,,,"Oracle Corporation",1767256393397
java.specification.version,sysinfo,,,"1.8",1767256393397
java.vendor,sysinfo,,,"Oracle Corporation",1767256393397
java.version,sysinfo,,,"1.8.0_202",1767256393397
java.vm.info,sysinfo,,,"mixed mode",1767256393397
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1767256393397
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1767256393397
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1767256393397
java.vm.specification.version,sysinfo,,,"1.8",1767256393397
java.vm.vendor,sysinfo,,,"Oracle Corporation",1767256393397
java.vm.version,sysinfo,,,"25.202-b08",1767256393397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256403055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256403236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256404108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256404195
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767256514088
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1767256550121
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1767256550204
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1767256550232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256558340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256560418
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767256647548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767256647822
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1767256648111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256649346
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256657879
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767256755703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767256756630
